Date,Description,Amount,Transaction Type,Category,Account Number
04/01/2018,Grocery Store,80.79,debit,Groceries,95028-6611199
04/01/2018,Brewing Company,59.48,debit,Restaurants,95028-6611199
04/01/2018,Amazon,13.13,debit,Shopping,95028-6611199
04/01/2018,Grocery Store,80.79,debit,Groceries,95028-6611199
04/01/2018,Brewing Company,59.48,debit,Restaurants,95028-6611199
04/01/2018,Amazon,13.13,debit,Shopping,95028-6611199
04/01/2018,Grocery Store,80.79,debit,Groceries,95028-6611199
04/01/2018,Brewing Company,59.48,debit,Restaurants,95028-6611199
04/01/2018,Amazon,13.13,debit,Shopping,95028-6611199
04/02/2018,Credit Card Payment,817.14,credit,Credit Card Payment,95028-1307804
04/02/2018,Credit Card Payment,817.14,debit,Credit Card Payment,95028-5949457
04/02/2018,Grocery Store,82.36,debit,Groceries,95028-6611199
04/02/2018,Hardware Store,13.89,debit,Home Improvement,95028-6611199
04/02/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,95028-5949457
04/02/2018,Credit Card Payment,817.14,credit,Credit Card Payment,95028-1307804
04/02/2018,Credit Card Payment,817.14,debit,Credit Card Payment,95028-5949457
04/02/2018,Grocery Store,82.36,debit,Groceries,95028-6611199
04/02/2018,Hardware Store,13.89,debit,Home Improvement,95028-6611199
04/02/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,95028-5949457
04/02/2018,Credit Card Payment,817.14,credit,Credit Card Payment,95028-1307804
04/02/2018,Credit Card Payment,817.14,debit,Credit Card Payment,95028-5949457
04/02/2018,Grocery Store,82.36,debit,Groceries,95028-6611199
04/02/2018,Hardware Store,13.89,debit,Home Improvement,95028-6611199
04/02/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,95028-5949457
04/02/2018,Credit Card Payment,817.14,credit,Credit Card Payment,95028-1307804
04/02/2018,Credit Card Payment,817.14,debit,Credit Card Payment,95028-5949457
04/02/2018,Grocery Store,82.36,debit,Groceries,95028-6611199
04/02/2018,Hardware Store,13.89,debit,Home Improvement,95028-6611199
04/02/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,95028-5949457
04/02/2018,Credit Card Payment,817.14,credit,Credit Card Payment,95028-1307804
04/02/2018,Credit Card Payment,817.14,debit,Credit Card Payment,95028-5949457
04/02/2018,Grocery Store,82.36,debit,Groceries,95028-6611199
04/02/2018,Hardware Store,13.89,debit,Home Improvement,95028-6611199
04/02/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,95028-5949457
04/03/2018,Amazon Video,6.41,debit,Movies & DVDs,95028-6611199
04/04/2018,Credit Card Payment,363.08,credit,Credit Card Payment,95028-6611199
